iucn_sid,stressor,range_km2,impact_km2,incr2_km2,incr3_km2,decr2_km2,decr3_km2
133424,direct_human,5867226.9750487665,511177.4244787411,61361.585238085914,210.45343392087284,7577.196971572349,0
133424,light,5867226.9750487665,NA,NA,NA,NA,NA
133424,nutrient,5867226.9750487665,NA,NA,NA,NA,NA
133424,oa,5867226.9750487665,3566703.705256781,3065117.19460735,177369.4572303157,0,0
133424,organic,5867226.9750487665,NA,NA,NA,NA,NA
133424,pel_hb,5867226.9750487665,NA,NA,NA,NA,NA
133424,pel_lb,5867226.9750487665,NA,NA,NA,NA,NA
133424,shipping,5867226.9750487665,4224238.8315484505,2911488.805830328,479068.8663362096,285157.419720949,73360.0508343897
133424,slr,5867226.9750487665,NA,NA,NA,NA,NA
133424,sst,5867226.9750487665,4852747.1026292285,4158464.7103414782,3893714.28787817,54018.41950137547,45399.43437019944
133427,art_fish,2223369.8177744723,1556216.7072764023,846375.6059279531,3036.2929371043,12180.975025107256,75.09956458619926
133427,cum_all,2223369.8177744723,2223369.8177744723,2138411.2501031514,1975580.5449686004,105.66334336119763,105.66334336119763
133427,cum_climate,2223369.8177744723,2221961.264281377,2207149.1846964112,2030694.0210000882,0,0
133427,cum_fishing,2223369.8177744723,1556216.7072764023,846375.6059279531,3036.2929371043,12180.975025107256,75.09956458619926
133427,cum_land-based,2223369.8177744723,334316.19892711804,38106.043932665096,0,6711.805451184921,0
133427,cum_ocean,2223369.8177744723,1549340.7306083152,1132984.368455073,310545.43943859654,28338.734034504283,5491.000859321252
133427,dem_dest,2223369.8177744723,NA,NA,NA,NA,NA
133427,dem_nondest_hb,2223369.8177744723,NA,NA,NA,NA,NA
133427,dem_nondest_lb,2223369.8177744723,NA,NA,NA,NA,NA
133427,direct_human,2223369.8177744723,334316.19892711804,38106.043932665096,0,6711.805451184921,0
133427,light,2223369.8177744723,NA,NA,NA,NA,NA
133427,nutrient,2223369.8177744723,NA,NA,NA,NA,NA
133427,oa,2223369.8177744723,2119027.7027852423,2007268.1958375594,177369.4572303157,0,0
133427,organic,2223369.8177744723,NA,NA,NA,NA,NA
133427,pel_hb,2223369.8177744723,NA,NA,NA,NA,NA
133427,pel_lb,2223369.8177744723,NA,NA,NA,NA,NA
133427,shipping,2223369.8177744723,1549340.7306083152,1132984.368455073,310545.43943859654,28338.734034504283,5491.000859321252
133427,slr,2223369.8177744723,NA,NA,NA,NA,NA
133427,sst,2223369.8177744723,2118910.6872339896,2076059.3986232118,2015832.16612313,376.3710820305448,376.3710820305448
133429,art_fish,5136691.577029395,2097855.7379671074,1009991.3635552265,3036.2929371043,178742.20748618158,23143.765206914744
133429,cum_all,5136691.577029395,4933727.139705361,4313890.248842566,3492440.7129796785,46499.73032766927,9163.893592954215
133429,cum_climate,5136691.577029395,4428697.401202616,4284661.672412836,3758000.638975379,1776.1920667915263,1776.1920667915263
133429,cum_fishing,5136691.577029395,2097855.7379671074,1009991.3635552265,3036.2929371043,178742.20748618158,23143.765206914744
133429,cum_land-based,5136691.577029395,463800.9503745738,50248.595918249426,0,7679.367310025483,0
133429,cum_ocean,5136691.577029395,3462082.1498089735,2511456.1203542734,431283.7108702589,152047.80458801135,41870.628013447786
133429,dem_dest,5136691.577029395,NA,NA,NA,NA,NA
133429,dem_nondest_hb,5136691.577029395,NA,NA,NA,NA,NA
133429,dem_nondest_lb,5136691.577029395,NA,NA,NA,NA,NA
133429,direct_human,5136691.577029395,463800.9503745738,50248.595918249426,0,7679.367310025483,0
133429,light,5136691.577029395,NA,NA,NA,NA,NA
133429,nutrient,5136691.577029395,NA,NA,NA,NA,NA
133429,oa,5136691.577029395,3458775.149444067,2783668.4709520284,177369.4572303157,0,0
133429,organic,5136691.577029395,NA,NA,NA,NA,NA
133429,pel_hb,5136691.577029395,NA,NA,NA,NA,NA
133429,pel_lb,5136691.577029395,NA,NA,NA,NA,NA
133429,shipping,5136691.577029395,3462082.1498089735,2511456.1203542734,431283.7108702589,152047.80458801135,41870.628013447786
133429,slr,5136691.577029395,NA,NA,NA,NA,NA
133429,sst,5136691.577029395,4174823.3171220673,4009975.4026645334,3743138.7840984208,2345.551570798678,2253.8602407717085
133432,art_fish,4052645.055123911,1814484.1160545025,978257.4305308511,3036.2929371043,66464.86274204492,138.8468679447112
133432,cum_all,4052645.055123911,4004398.823275007,3630651.8591475794,3110327.1333750826,31030.966177105096,9108.005552213352
133432,cum_climate,4052645.055123911,3909377.7870620023,3570993.1130794757,3188293.5821017115,38003.00033019208,32075.37409353885
133432,cum_fishing,4052645.055123911,1814484.1160545025,978257.4305308511,3036.2929371043,66464.86274204492,138.8468679447112
133432,cum_land-based,4052645.055123911,443940.60798758076,47331.06509920959,0,7541.393688584268,0
133432,cum_ocean,4052645.055123911,2884831.9527733964,2088329.4449884892,411559.5956981995,94453.42320298802,31069.389209050703
133432,dem_dest,4052645.055123911,NA,NA,NA,NA,NA
133432,dem_nondest_hb,4052645.055123911,NA,NA,NA,NA,NA
133432,dem_nondest_lb,4052645.055123911,NA,NA,NA,NA,NA
133432,direct_human,4052645.055123911,443940.60798758076,47331.06509920959,0,7541.393688584268,0
133432,light,4052645.055123911,NA,NA,NA,NA,NA
133432,nutrient,4052645.055123911,NA,NA,NA,NA,NA
133432,oa,4052645.055123911,2912658.088832037,2482385.602450166,177369.4572303157,0,0
133432,organic,4052645.055123911,NA,NA,NA,NA,NA
133432,pel_hb,4052645.055123911,NA,NA,NA,NA,NA
133432,pel_lb,4052645.055123911,NA,NA,NA,NA,NA
133432,shipping,4052645.055123911,2884831.9527733964,2088329.4449884892,411559.5956981995,94453.42320298802,31069.389209050703
133432,slr,4052645.055123911,NA,NA,NA,NA,NA
133432,sst,4052645.055123911,3704162.1092413333,3327041.777499771,3173431.7272247532,40348.551907288784,34209.59898391316
133433,art_fish,5739976.872615621,2433191.0202855538,1025536.1005559477,3036.2929371043,276994.27153572533,27518.75157123003
133433,cum_all,5739976.872615621,5537012.435291588,4747477.595239391,3888426.754393455,46499.73032766927,9163.893592954215
133433,cum_climate,5739976.872615621,5031982.696788843,4887698.091523749,4300076.2949743355,1776.1920667915263,1776.1920667915263
133433,cum_fishing,5739976.872615621,2433191.0202855538,1025536.1005559477,3036.2929371043,276994.27153572533,27518.75157123003
133433,cum_land-based,5739976.872615621,477400.9579295432,50278.28643792488,0,8047.005889232907,0
133433,cum_ocean,5739976.872615621,4061455.281955261,2913919.9360132064,543911.229137671,173838.03108937692,42398.944730253774
133433,dem_dest,5739976.872615621,NA,NA,NA,NA,NA
133433,dem_nondest_hb,5739976.872615621,NA,NA,NA,NA,NA
133433,dem_nondest_lb,5739976.872615621,NA,NA,NA,NA,NA
133433,direct_human,5739976.872615621,477400.9579295432,50278.28643792488,0,8047.005889232907,0
133433,light,5739976.872615621,NA,NA,NA,NA,NA
133433,nutrient,5739976.872615621,NA,NA,NA,NA,NA
133433,oa,5739976.872615621,4062060.4450302925,3397850.1896397984,177369.4572303157,0,0
133433,organic,5739976.872615621,NA,NA,NA,NA,NA
133433,pel_hb,5739976.872615621,NA,NA,NA,NA,NA
133433,pel_lb,5739976.872615621,NA,NA,NA,NA,NA
133433,shipping,5739976.872615621,4061455.281955261,2913919.9360132064,543911.229137671,173838.03108937692,42398.944730253774
133433,slr,5739976.872615621,NA,NA,NA,NA,NA
133433,sst,5739976.872615621,4768099.412350344,4566877.983501995,4285214.440097377,2594.428046112199,2502.7367160852295
133434,art_fish,2451465.539134018,1635424.918558214,899633.4240357146,3670.272997271486,16335.028940777476,75.09956458619926
133434,cum_all,2451465.539134018,2450515.442296569,2356418.3053037073,2138449.673176231,105.66334336119763,105.66334336119763
133434,cum_climate,2451465.539134018,2444237.6424965886,2409497.980295482,2192775.477007173,0,0
133434,cum_fishing,2451465.539134018,1635424.918558214,899633.4240357146,3670.272997271486,16335.028940777476,75.09956458619926
133434,cum_land-based,2451465.539134018,371169.128037173,44286.912897913135,0,6545.014550273727,0
133434,cum_ocean,2451465.539134018,1687240.9994639813,1230939.5272845398,316350.8105601498,29248.6613375539,5663.904510949025
133434,dem_dest,2451465.539134018,NA,NA,NA,NA,NA
133434,dem_nondest_hb,2451465.539134018,NA,NA,NA,NA,NA
133434,dem_nondest_lb,2451465.539134018,NA,NA,NA,NA,NA
133434,direct_human,2451465.539134018,371169.128037173,44286.912897913135,0,6545.014550273727,0
133434,light,2451465.539134018,NA,NA,NA,NA,NA
133434,nutrient,2451465.539134018,NA,NA,NA,NA,NA
133434,oa,2451465.539134018,2316868.77791015,2090248.85046533,177369.4572303157,0,0
133434,organic,2451465.539134018,NA,NA,NA,NA,NA
133434,pel_hb,2451465.539134018,NA,NA,NA,NA,NA
133434,pel_lb,2451465.539134018,NA,NA,NA,NA,NA
133434,shipping,2451465.539134018,1687240.9994639813,1230939.5272845398,316350.8105601498,29248.6613375539,5663.904510949025
